#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
 abnormality [Эбнор'мЭлэти][Эбно:'мЭлити]|нарушение,ненормальность||
aboard [э'борд][э'бо:д]|на-борту|абордаж / aboard эборд абоард / *на-борту золото, берём на АБОРДаж! (похоже)|
 overboard [оувэр,борд][эувэбо:д]|за-борт,за-бортом||
 onboard [ан,борд][онбо:д]|на-борту||
abort [э'борт][э'бо:т]|прерывать|аборт / abort эборт аборт / сделали АБОРТ, *прервали беременость, жертвы АБОРТа недовольны! / АБОРТ это *прекращение беремености, а там всего вообще|
 abortion [э'боршэн][э'бо:шэн]|аборт||
absorb [эб'зорб][эб'со:б]|впитывать,поглощать|абсорбировать(хим) / absorb эбзорб абсорб / АБСОРБировать *всасывать *впитывать *поглощать|
 absorption [эб'сорпшэн][эб'зорпшэн][эб'со:пшэн]|поглощение,впитывание||
abuse [эб'ьюз][э'бью:с]|злоупотреблять / 2,насилие,домогательство / 3,оскорблять,бранить,брань|абьюзер-сленг / abuse эбьюс абусе / АБЬЮЗер *оскорбил (сленг) / ОБУЗА *злоупотребляет арбузом / *брань *злоупотребление|
 abusive [эб'ьюсив][э'бью:сив]|оскорбительный||
accelerate [Эк'селэр,еит][эк'селэреит]|ускоряться,ускорять|акселератор / accelerate эксерейт акселерате / АКСЕЛЕРАТы *ускорено развиваются не по годам|
 acceleration [Эк,селэр'еишэн][эк,селэ'реишэн]|ускорение||
accident [Эксэдэнт][Эксидэнт]|несчастный-случай,происшествие,ДТП|случайность / инцидент / accident эксидэнт аксидент / *авария *происшествие *ДТП это *случайный ИНЦИДЕНТ / incident инсэдэнт инцидент / *ИНЦИДЕНТ это несчастный *случай (accident эксидэнт авария происшествие)|
 accidental [Эксэ'денэл][Эксэ'дентэл][Экси'дентл]|случайный||
accompany [э'кэмпэни][э'кАмпэни]|сопровождать|за-компанию / accompany экампэни аккомпани / *сопровождать зА КОМПАНИю|
 accompaniment [э'кэмпнимэнт][э'кАмпэнимэнт]|сопровождение|акомпонимент муз|
achieve [э'чи:в]|достигать|ачивка / achieve эчив ачиеве / АЧИВка в игре это *достижение / все *достижения в АрХИВ спрятали и забыли|
 achievement [э'чи:вмэнт]|достижение||
 achievable [э'чивэбэл][э'чи:вэбл]|достижимый||
 unachievable [Анэ'чи:вэбл]|недостижимый||
across [э'крос]|за,через|кросворд крос / across экрос акросс / А в КРОСС-ворде слова *поперёк / А КРОСС мы *через Кусты РОЗ побежим, они же колючие!|
