#Xing*2025 /600 базовых слов-A1/ сайт: en-ru-dict.github.io ютюб: m.youtube.com / @en-ru-dict
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#
a [э]|артикль =некий|без артикля это глагол наречие или прилагательное|
the [Зэ][Зи]|артикль =именно-этот, тот|(this-этот these-эти those-те there-там that-тот they-они their-их them-их)|
nature [неичэР]|природа|юные НАТУРАлисты берегут *природу - мать вашу, в НАТУРЕ, век воли не видать|
flower [флауэР]|цветок|ФЛОРИда - *цветущий штат с *цветами / *цветы любит ФЛОРист (florist цветочник) / ФЛОРа и фауна|
water [ВотэР][Во:тэ]|вода|блюВОТА - синяя(блю) + *вода(Вотэ), бее / ВАТЕРлиния корабля по уровню *воды / ВАТЕРпол - *вода(ватер) + бассейн(пол) / т=д ВОТЭ=*ВОДА %|
air [ер][еэ]|воздух|АЭРопланы летают в *воздухе, оттуда отличный *вид и *впечатление|
life [лаиф]|жизнь|ГЕРБалайф - трава(herb херб лечебные-растения) для *жизни / ЛАЙФхак - *жизнь + хак(hack взломать рубить кромсать) = полезные советы как проще жить|(alive элаив живой)(live-жить)
death [деС]|смерть|ДЕСпота *казнили, собаке собачья *смерть|
land [лЭнд]|земля,высаживаться-на-берег|в названиях иСЛАНдия финЛЯНДия гоЛАНДия / дисней ЛЭНД это *земля парка и *приземляться туда надо тихо|(island айлэнд остров)(landlord лэндлорд арендодатель домовладелец)(landscape лэндскеип ЛАНДшафт)(lend ленд давать-в-долг)
star [стаР][ста:]|звезда|суперСТАР - крутая *звезда сцены / я стар, я очень стар, я суперстар|
grass [грЭс][грас]|трава|РАСтёт КРАСная / ГеРАСим бегал по *траве за муму|(grow грэу расти)
tree [три]|дерево|поТРИ *дерево - будет огонь / ТРИ тополя на плющихе были говорящими *деревьями|(three Сфри три)
gold [гоулд]|золото|принес ГОЛ команДе / ГОЛДИ хоум - *золотко домашнее(home) снималась в кино (за бортом) / ГОЛД стар - *золотая звезда(star) теперь LG|
silver [силвэР]|серебро|пират СИЛЬВЕР из острова сокровищ  сундук с *серебром спрятал, до сих пор ищут / алисия СИЛЬВЕР-стоун катит *серебряный камень(stone стоун) / СИЛЬВЕстер сталоне с талоном *серебро покупал|
sound [саунд]|звук|САУНДтрек - *звук + дорожка(track трек) / САУНа Делает тело *здоровым под *звуки му|
fire [фаиэР][фаир]|огонь|ФЕЙЕРверк - *огонь + работа(work вэРк) / ФЕЙЕРверк *стреляет *огнём|(bonfire бонфаиэр костер)
sky [скаи]|небо|СКАЙнет - *небо + сеть(net нет) = интернет по *небу через спутники / отпуСКАЙ шарик в *небо / в СКАЙпе на входе заставка *небо и капча - докажи что ты не верблюд|(ski ски лыжи)
ground [граунд]|земля|АНДЕграунд - под(udder андер) + *землей / *ГРУНт это *земля *почва|
sun [сАн]|солнце|а=о СОНце % / в САН франциско светит *солнце искренне(frank фрэНк) / САНитары советовали психам лететь на *солнце ночью чтобы не сгореть|(sunday-воскресенье)(son сан сын)
rain [реин]|дождь|картина РЕпИНа приплыли (по лужам под *дождём) / когда *дождей нет, огород поливают из реки РЕЙН в европе / *дождь в РАЙоНе *дождей / вРЕдИНа и кРЕтИН под *дождем ходили без зонтика по лужам на свидание, она(she) ШИзанутая, он(he) постоянно ХИхикал, два сапога пара!|(reign реин власть владычество)
moon [мун]|луна|м=л ЛУН % / *спутник *лунный *бродит-как-во-сне *лунатик|
stone [стоун]|камень|в хьюСТОНЕ рубят(hew хью) *камни для космодрома / СТОУНхедж из *камней + изгородь(hedge хедж ограда) / о=е СТЕНА из *камней|
