g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
2. be [би][би] | быть
am [Эм][еи'ем] | являюсь
are [ар][эр] | являются
aren't [арэнт][арнт] | не-являются
been [бин][бэн][бин] | был
being [бииН] | существование
beings [бииНз] | существа
is [из][из] | является
isn't [изэн][изэнт][изэнт] | не-является
was [Ваз][Вэз] | был
wasn't [Вазэнт][Вэзэнт] | не-было
were [Вэр] | были
weren't [Вэрэнт][Вэрнт] | не-были
3. and [Энд][энд] | и
4. of [эв] | из
5. to [ту][тэ][ти] | к
6. a [еи][э] | (артикль) некий, один, любой, какой-то
an [Эн][эн] | некий
7. in [ин][ин] | в
8. have [хЭв] | иметь
had [хЭд] | имел
hadn't [хЭдэн][хЭдэнт] | не-было
has [хЭз][хэз] | имеет
hasn't [хЭзэнт] | не-имеет
haven't [хЭвэн][хЭвэнт] | не-имеют
having [хЭвиН] | имея
9. it [ит][ит] | это
its [итс][итс] | его
10. you [ью] | ты
your [йор][ьюр] | твой
yours [йорз][ьюрз][йэрз] | твой
11. he [хи] | он
him [хим][им] | ему
his [хиз][хиз] | его
12. for [фор][фэр][фрэр] | для
13. they [Зеи] | они
their [Зер] | их
theirs [Зерз] | их
them [Зем][Зэм] | их
14. not [нат] | нет
15. that [ЗЭт][Зэт] | что
those [Зоуз] | те
16. we [Ви] | мы
our [ауэр][аур][ар] | наш
ours [ауэрз][аурз][арз] | наш
us [эс][ью'ес] | нас
17. on [ан][он] | на
18. with [ВиЗ][ВиС][ВиЗ][ВиС] | с
19. this [Зис][Зис] | это
these [Зиз] | эти
20. i [аи] | я
me [ми] | мне
my [маи] | мой
21. do [ду] | делать
did [дид][дид] | делал
didn't [дидэн][дидэнт][диднт][динт] | не-сделал
does [дэз][диз] | делает
doesn't [дэзэн][дэзэнт] | не-делает
doing [дуиН] | делает
don't [доун][доунт] | не
done [дэн] | сделанный
22. as [Эз][ез] | как
23. at [Эт] | в
24. she [ши] | она
her [хэр][хэр] | ее
hers [хэрз][хэрз] | ее
25. but [бэт] | но
buts [бэтс] | но
26. from [фрэм] | из
27. by [баи] | по
28. will [Вил][Вэл] | будет
willed [Вилд] | волевой
willing [ВилиН] | готовый
won't [Воунт] | не-будет
29. or [ор][эр] | или
30. say [сеи] | сказать
said [сед] | сказал
saying [сеииН] | говоря
sayings [сеииНз] | поговорки
says [сез][сиз] | говорит
31. go [гоу] | идти
goes [гоуз] | идет
going [гоуин][гоуиН] | идущий
gone [гон] | ушел
gonna [ганэ] | собираюсь
went [Вент] | шел
32. so [соу] | так-что
33. all [ол] | все
34. if [иф][иф] | если
ifs [ифс] | если
35. one [Вэн] | один
ones [Вэнз] | те
36. would [Вуд] | будет
wouldn't [Вудэнт] | не-будет
37. about [э'баут] | о
38. can [кЭн][кэн] | может
can't [кЭнт] | не-мочь
cannot [кЭнат][кэ'нат] | не-может
39. which [хВич][Вич] | который
40. there [Зер] | там
41. know [ноу] | знать
knew [нью][ну] | знал
knowing [ноуиН] | зная
known [ноун] | известный
knows [ноуз] | знает
42. more [мор] | больше
43. get [гет][гит] | получить
gets [гетс][гитс] | получает
getting [гетиН][гитиН] | получающий
got [гат] | получил
gotta [гатэ] | должен
gotten [гатэн][готэн] | получил
44. who [ху] | кто
whom [хум] | кому
whose [хуз] | чей
45. like [лаик] | нравится
liked [лаикт] | понравилось
likes [лаикс] | нравится
liking [лаикиН] | нравится
46. when [хВен][хВин][Вен][Вин] | ​​когда
47. think [СиНк] | думаю
thinking [СиНкиН] | думая
thinks [СиНкс] | думает
thought [Сот] | мысль
thoughts [Сотс] | мысли
48. make [меик] | сделать
made [меид] | сделал
makes [меикс] | делает
making [меикиН] | изготовление
49. time [таим] | время
timed [таимд] | рассчитанный-по-времени
times [таимз] | раз
timing [таимиН] | время
50. see [си] | см.
saw [со] | пила
seeing [сииН] | видя
seen [син] | видимый
sees [сиз] | видит
51. what [хВэт][Вэт] | что
52. up [эп] | вверх
upped [эпт] | повышенный
upping [эпиН] | повышение
ups [эпс] | UPS
53. some [сэм] | некоторые
54. other [эЗэр] | другое
others [эЗэрз] | другие
55. out [аут] | вне
outed [аутэд] | аутед
outing [аутиН] | вылазка
outings [аутиНз] | вылазки
outs [аутс] | ауты
56. good [гуд][гид] | хорошо
57. people [пипэл] | люди
peopled [пипэлд] | населенный
peoples [пипэлз] | народы
peopling [??] | заселение
58. year [йир] | год
years [йирз][йэрз] | годы
59. take [теик] | взять
taken [теикэн] | взятый
takes [теикс] | занимает
taking [теикиН] | принимая
took [тук] | взял
60. no [ноу] | нет
