var g_tran_us=`
'bout|ˈbaut
'cause|kəz
'course|ˈkɔrs
'cuse|ˈkjuz
'em|əm
'frisco|ˈfriskou
'gain|ˈgen
'kay|ˈkei
'm|əm
'n|ən
'round|ˈraund
's|ˈes
'til|ˈtil
'tis|ˈtiz
'twas|ˈtwəz
a|ˈei/ə
a.|ˈei
a.'s|ˈeiz
a.d.|ˌeiˈdi
a.m.|ˌeiˈem
a.s|ˈeiz
a's|ˈeiz
aaa|ˌtripəˈlei
aaberg|ˈɑbərg
aachen|ˈɑkən
aachener|ˈɑkənər
aaker|ˈɑkər
aaliyah|ˌɑˈliˌɑ
aalseth|ˈɑlseθ
aamodt|ˈɑmət
aancor|ˈɑnˌkɔr
aardema|ɑrˈdemə
aardvark|ˈɑrdˌvɑrk
aardvarks|ˈɑrdˌvɑrks
aargh|ˈɑrg
aarhus|ˌɑˈhus
aaron|ˈerən
aaron's|ˈerənz
aarons|ˈerənz
aaronson|ˈɑrənsən/ˈerənsən
aaronson's|ˈɑrənsənz/ˈerənsənz
aarti|ˈɑrˌti
aase|ˈɑs
aasen|ˈɑsən
ab|ˈæb/ˈeiˈbi
aba|ˌeiˌbiˈei
ababa|ˈɑbəbə/əˈbɑbə
abacha|ˈæbəkə
aback|əˈbæk
abaco|ˈæbəˌkou
abacus|ˈæbəkəs
abad|əˈbɑd
abadaka|əˈbædəkə
abadi|əˈbædi
abadie|əˈbædi
abair|əˈber
abalkin|əˈbɑlkin
abalone|ˌæbəˈlouni
abalones|ˌæbəˈlouniz
abalos|ɑˈbɑlouz
abandon|əˈbændən
abandoned|əˈbændənd
abandoning|əˈbændəniŋ
abandonment|əˈbændənmənt
abandonments|əˈbændənmənts
abandons|əˈbændənz
abanto|əˈbæntou
abarca|əˈbɑrkə
abare|ɑˈbɑri
abascal|ˈæbəskəl
abash|əˈbæʃ
abashed|əˈbæʃt
abasia|əˈbeiʒjə
abate|əˈbeit
abated|əˈbeitid
abatement|əˈbeitmənt
abatements|əˈbeitmənts
abates|əˈbeits
abating|əˈbeitiŋ
abattoir|ˌæbətˈwɑr
abba|ˈæbə
abbado|əˈbɑdou
abbas|əˈbɑs
abbasi|ɑˈbɑsi
abbate|ˈɑbeit
abbatiello|ɑbɑtiˈelou
abbe|ˈæbi/æˈbei
abbenhaus|ˈæbənˌhaus
abbett|əˈbet
abbeville|ˈæbvil
abbey|ˈæbi
abbey's|ˈæbiz
abbie|ˈæbi
abbitt|ˈæbit
abbot|ˈæbət
abbotstown|ˈæbətˈstaun
abbott|ˈæbət
abbott's|ˈæbəts
abbottstown|ˈæbətˈstaun
abboud|əˈbaud/əˈbud
abbreviate|əˈbriviˌeit
abbreviated|əˈbriviˌeitid
abbreviates|əˈbriviˌeits
abbreviating|əˈbriviˌeitiŋ
abbreviation|əˌbriviˈeiʃən
abbreviations|əˌbriviˈeiʃənz
abbruzzese|ɑbrutˈseizi
abbs|ˈæbz
abby|ˈæbi
abc|ˈeiˌbiˌsi
abc's|ˈeiˌbiˌsiz
abco|ˈæbkou
abcotek|ˈæbkouˌtek
abcs|ˈeiˌbiˌsiz
abd|ˌeiˌbiˈdi
abdalla|ˌæbˈdælə
abdallah|ˌæbˈdælə
abdel|ˈæbˌdel
abdella|ˌæbˈdelə
abdicate|ˈæbdəˌkeit
abdicated|ˈæbdəˌkeitid
abdicates|ˈæbdəˌkeits
abdicating|ˈæbdiˌkeitiŋ
abdication|ˌæbdiˈkeiʃən
abdnor|ˈæbdnər
abdo|ˈæbdou
abdollah|ˌæbˈdɑlə
abdomen|ˈæbdəmən/æbˈdoumən
abdominal|æbˈdɑmənəl/əbˈdɑmənəl
abduct|æbˈdəkt
abducted|æbˈdəktid/əbˈdəktid
abductee|æbˌdəkˈti
abductees|æbˌdəkˈtiz
abducting|æbˈdəktiŋ/əbˈdəktiŋ
abduction|æbˈdəkʃən/əbˈdəkʃən
abductions|æbˈdəkʃənz/əbˈdəkʃənz
abductor|æbˈdəktər/əbˈdəktər
abductors|æbˈdəktərz/əbˈdəktərz
abducts|æbˈdəkts
abdul|æbˈdul
abdulaziz|æbˌduləˈziz
abdulla|ɑbˈdulə
abdullah|ˌæbˈdələ
abe|ˈeib
abed|əˈbed
abedi|əˈbedi
abee|əˈbi
abel|ˈeibəl
abela|ɑˈbelə
abelard|ˈæbilərd
abele|əˈbel
abeles|ˈeibəˌliz/əˈbelz
abell|ˈeibəl
abella|əˈbelə
abeln|ˈæbiln
abelow|ˈæbəlou
abels|ˈeibəlz
abelson|ˈæbilsən
abend|ˈæbend/əˈbend
abendroth|ˈæbindrɔθ
aber|ˈeibər
