#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
able [еибэл][еибл]|способный,могущий|айболит / able ейбл абле / *способный остап *в-состоянии нарисовать плакат: покупайте АБЛЕгации! их выгнали за такую мазню с мальчиком кисой / АЙБоЛит *способен вылечить любого бармалея|
 ability [э'билэти]|способность|обилие / ability эбилэти / ОБИЛИЕ *способносТЕй у меня - и жнец и на дуде игрец|
 unable [э'неибэл][Ан'еибл]|не-могущий,неспособный|unable анеибл унабле / *неспособен = un-не + able-способный|
 unability [Ан,еи'билити]|неспособность||
about [э'баут]|о,примерно|около|
abroad [э'бро:д]|за-границей,за-границу|все бегут через брод-широкий с крокодилами, половину уже съели / abroad эброд аброад / А БРОДяга сбежал *за-границу от такой жизни, выучил английский, нашёл отличную работу, жену красавицу и зажил прекрасной счастливой жизнью (border граница бордюр)(road-дорога)|
abrupt [э'брэпт][э'брАпт]|крутой,резкий|обрыв / abrupt эбрэпт абрупт / с *крутого *резкого ОБРЫва уПал Ты, ааа|
absent [Эбсэнт]|отсутствующий|абсент|
 absence [Эбсэнс]|отсутствие||
accept [Эк'септ][эк'септ]|принимать,принять|акцепт (бух) / accept эксепт акцепт / *АКЦЕПТовать *допускать *признавать *принимать|
 acceptable [Эк'септэбэл][эк'септэбэл][эк'септэбл]|приемлемый||
 unacceptable [энЭк'септэбэл][Анэк'септэбл]|неприемлемо,неприемлемый||
 acceptance [Эк'септэнс][эк'септэнс]|принятие||
access [Эк,сес]|доступ|аксесуары лом и кувалда / access эксес аксесс / для получения *доступа нужны АКСЕСсуары взломщика (лом и кувалда)(accessory принадлежность аксессуар)|
 accessible [Эк'сесэбэл][эк'сесэбл]|доступный,доступной||
 accessibility [Эксесэ'билити][эк,сеси'билити]|доступность||
 inaccessible [инэк'сесэбэл][инЭк'сесэбл]|недоступный||
 inaccessibility [инэк,сесэ'билэти][инЭк,сесэ'билити]|недоступность||
 accessory [Эк'сесэри][эк'сесэри]|принадлежность,аксессуар|% / access эксес аксесс / для получения *доступа нужны АКСЕСсуары взломщика (лом и кувалда)(accessory принадлежность аксессуар)|
accomplish [э'камплиш][э'комплиш]|выполнить,завершить|укомплектовать / accomplish экомлиш / УКОМПЛЕКТование КОМПЛЕКТа ЛИШь сейчас *выполнить и *завершить (=укомплектовать)|
 accomplishment [э'камплишмэнт][э'комплишмэнт]|достижение||
accord [э'корд][э'ко:д]|согласие|аккорд муз / accord экорд аккорд / коза *согласилась играть на АККОРДионе вместо баяна, а нафига козе баян?|
 accordance [э'кордэнс][э'ко:дэнс]|соответствие||
 according-to [э'кордиН-ту][э'ко:диНту:]|в-соответствии-с,в-соответствии|according-to экордиНту / *согласно пророчеству это был последний АККОРД ИНТУриста на балалайке медведя|
 accordingly [э'кордиНли][э'ко:диНли]|соответственно||
account [э'каунт]|счет,отчёт / 2,счёт(в-банке)|аккаунт / account экаунт аккоунт / я *считаю свои АККАУНТы для накрутки (accountant экаунтэнт бухгалтер счетовод)|
 account-for [э'каунт-фор][э'каунтфо:]|учитывать,объяснить(произошедшее)|=отчет|
 accountant [э'каунтэнт]|бухгалтер|account экаунт аккоунт / я *считаю свои АККАУНТы для накрутки (accountant экаунтэнт бухгалтер счетовод)|
 accountable [э'каунтэбэл][э'каунтэбл]|подотчетный||
 accountability [э'каунтэ,билити][э,каунтэ'билити]|подотчетность||
accurate [Экьэрэт][Экьюрит]|точный|и аккуратный / accurate экьюрит аккурате / *скрупулезные люди все делают АККУРАТно и очень *точно|
 accuracy [Экьэрэси][Экьюрэси]|точность||
 inaccurate [и'нЭкьэрэт][ин'Экьюрит]|неточный||
 inaccuracy [и'нЭкьэрэси][ин'Экьюрэси]|неточность||
acid [Эсэд][Эсид]|кислота|ацитон / acid эсид асид / ОкСИД серы это серная *кислота / АЦИТон почти *кислота|
 acidic [э'сидик]|кислый,кислотный||
 acidity [э'сидэти][э'сидити]|кислотность||
acknowledge [Эк'налидж][эк'нолидж]|сознавать,признавать,подтверждать|нолидж колидж знания / acknowledge экнолидж аскновледге / стоит *признать, что пётр1, прорубил ОКНО в ЛИДирующую европу, а там оказался загнивающий запад|
 acknowledgement [Эк'налиджмэнт][эк'нолиджмэнт]|признание,подтверждение||
acute [эк'ьют][э'кью:т]|острый|cut-резать катер / acute экьют акуте / *остроконечный *острый (cut кат резать)|
addict [Э,дикт][э'дикт]|наркоман,привыкать|эдик / ЭДИК то *наркоман и *алкаш (addict эдикт)|
 addiction [э'дикшэн]|зависимость||
addition [э'дишэн]|добавление,сложение|add-прибавить / add эд адд / ЭДик в АДу *прибавил в весе, хорошо там кормят бесы (addition эдишэн сложение)|
 additional [э'дишэнэл][э'дишэнл]|дополнительный||
 in-addition [ин-э'дишэн][инэ'дишэн]|кроме-того,вдобавок||
 add-to [Эд-ту][Эдту:]|добавить-в,увеличивать||
 add-up [Эд-эп][ЭдАп]|сложить,сходиться(об-информации)||
admire [Эд'маир][эд'маиэ]|восхищаться|адмирал / admire эдмаир адмире / АДМИРАл *восхищаться грозой ЕДет в МАЕ и на шашлыки, а ты садить картошку|
 admirable [Эдмэрэбэл][Эдмрэбэл][Эдмэрэбл]|замечательный,восхитительный||
 admiration [Эдмэр'еишэн][Эдмэ'реишэн]|восхищение||
 admirer [Эд'маирэр][эд'маиэрэ]|поклонник,обожатель||
admit [эд'мит]|признавать,допускать|админ / admit эдмит адмит / АДМИн *разрешил качаТь игры с вирусами / *впускать *позволять|
 admission [Эд'мишэн][эд'мишэн]|допущение,допуск|admission эдмишен адмиссион / АДМИН МИШа косолапый дал *допуск зверям в даркнет|
 admittedly [Эд'митидли][эд'митидли]|по-общему-признанию||
adolescent [Эдоу'лесэнт][Эдэу'леснт]|подросток,подростковый|иди лесом / adolescent эдэлесэнт адолесцент / ОДОЛЕли пузырь абСЕНТа *подростки и сказали - ИДИ ты ЛЕСОМ|
 adolescence [Эдоу'лесэнс][Эдэу'леснс]|подростковый-возраст||
adopt [э'дапт][э'допт]|усыновить,принимать,перенимать|усыновить, взять(животное) / адаптировалось / adopt эдопт адопт / *принимать *усыновить *взять(животное) и оно АДАПТировалось|
 adoption [э'дапшэн][э'допшэн]|принятие|усыновление|
