#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
CEO[си,и'оу]|гендиректор|сокр.|
AIDS[ейдз?]|СПИД|(aid~ейд помощь)|
Supreme[сэприм]|Верховный|=супер прима|
Christmas[крисмэс]|Рождество|крещение|
DNA[ди,е'ней]|ДНК|а=к %|
TV[ти'ви]|ТВ|зомбоящик|
Mr,Mrs,Ms[мистэр,мисиз,миз]|мистер,мисис,мис|с=з, сокр.|
Bible[баибэл]|Библия|и=ай %|
God[гад]|Бог|гад на болоте(bog)|
Easter[истэр]|Пасха|пасла посла на востоке истеричка|
Catholic[кЭСлик]|Католик|% на ослике|
Christian[крисчэн][крисчин]|христианин|% крещён|
Islamic[из'ламик]|исламский|% излом|
Muslim[мэзлэм][мэзлим]|Мусульманин|% мюсли|
Olympic[оу'лимпик]|Олимпийский|%|
Democrat[демэ,крЭт]|Демократ|% домкрат|
Republican[ри'пэблэкэн][ри'пэбликэн]|республиканец|% на публике|
Senate[сенэт][сенит]|Сенат|% на сене|
Congress[каНгрэс]|Конгресс|% за прогресс|
Middle-Ages[мидэл-еиджэз]|Средневековье|кризис среднего возраста|
Santa-Claus[сЭнтэ-клоз]|Дед-Мороз|внук санта клауса|
#
European[юрэ'пиэн]|Европейский|% юра пианист|
Asian[еижэн]|Азиатский|% ежик|
African[Эфрэкэн][Эфрикэн]|Африканский|%|
African-American[Эфрэкэнэ'мерэкэн]|Афроамериканец|% негр|
American[э'мерэкэн][э'мерикэн]|Американец|%|
Arab[Эрэб][еирэб]|араб|%|
Latin[лЭтэн]|латинский|%|
Soviet[соуви,ет][соувиэт]|Советский|% соус витамины|
Gypsy[джипси]|Цыган|в гипсе на джипе/а страны у них нет|
Belgium[белджэм]|Бельгия|% белый джем|Belgian[белджэн]Бельгийский %
Canada[кЭнэдэ]|Канада|%|Canadian[кэ'неидиэн]Канадец канатоходец
China[чаинэ]|Китай|делает фарфоровые чайники|Chinese[чаи'низ]Китайский подделка
England[иНглэнд]|Англия|е=и=а % лэнд=земля|Englishman[иНглишмэн]Англичанин +чел//English[иНглиш]Английский %
British[бритиш]|Британский|% братишка|London[лэндэн]Лондон/ о=а % (а линдэн-липа)
France[фрЭнс]|Франция|с=ц %|Frenchman[френчмЭн]Француз +чел//French[френч]Французский %%
Germany[джэрмэни]|Германия|г=дж %|German[джэрмэн]Немецкий =германский, а немец-немой
Indian[индиэн]|Индийский|% индус|
Iraqi[аи'рЭки][и'рЭки][и'рЭки]|Иракский|% реки и раки|
Ireland[аиэрлэнд][аирлэнд]|Ирландия|% лэнд=земля|Irish[аириш]ирландский ириска
Israel[изреил][изриэл]|Израиль|% из=покой + риэл=реально =реальный покой|Israeli[из'реили]Израильский %// Jew[джу']еврей j=й w=в %% джун
Italy[итэли]|Италия|%|Italian[и'тЭлйэн]Итальянский % пицца
Japan[джэ'пЭн]|Япония|j=дж=й %|Japanese[джЭпэ'низ]Японский джип низкий
Mexico[мексэ,коу]|Мексика|%|Mexican[мексэкэн]Мексиканец % (микс -смесь)
Morocco[мэр'акоу]|Марокко|%|Moroccan[мэр'акэн]Марокканский одна марока
Netherlands[неЗэрлэндз]|Нидерланды|% Nether=более-низкий + ланд=земля =голландия|
Portugal[порчэгэл]|Португалия|т=ч % порча|
Palestinian[пЭли'стиниэн]|палестинский|% пластелин|
Russia[рэшэ]|Россия|наша раша|Russian[рэшэн]русский рашпиль
Spain[спеин]|Испания|+и %|Spaniard[спЭньэрд]Испанец % спаниэль ярд//Spanish[спЭниш]испанский % стыд понимаеш
Sweden[сВидэн]|Швеция|с=ш % с видом на море|Swede[сВид]Швед свидомый
Switzerland[сВитсэрлэнд]|Швейцария|с=ш %% свита сэра лэнд=земля|Swiss[сВис]Швейцарский сыр/свистел и доствистелся
United-States[ю'наитид-стеитс]|Соединенные-Штаты|юннаты статисты =америка|
#
#(1 часть. слова почти похожи, интернац, сленг, новояз - легко запомнить по микро ФА)
#
abnormal[Эб'ноРмэл]|аномальный,ненормальный|AB=не *неНОРМАЛьный %| abnormality[ЭбноР'мЭлэти][Эбно:'мЭлити]нарушение,ненормальность/-ty сущ
aboard[э'боРд]|на-борту|+золото, берём на АБОРДаж!| overboard[оувэр,борд][эувэбо:д]за-борт,за-бортом/=через+борт// onboard[ан,борд][онбо:д]на-борту/=на+борт
abort[э'боРт]|прерывать|сделали АБОРТ, *прервали беременость, жертвы АБОРТа недовольны!/ АБОРТ это *прекращение беремености, а там всего вообще| abortion[э'боршэн][э'бо:шэн]аборт/-tion сущ
absorb[эб'зорб][эб'со:б]|впитывать,поглощать|+АБСОРБировать и *всасывать| absorption[эб'сорпшэн][эб'зорпшэн][эб'со:пшэн]поглощение,впитывание/-tion сущ
abuse[эб'ьюз][э'бью:с]|злоупотреблять/2,насилие,домогательство/3,оскорблять,брань| АБЬЮЗер *оскорбил (сленг)/ОБУЗА *злоупотребляет арбузом/*оскорбил АБЬЮЗера *бранью/муж АБЬЮЗер, это ОБУЗА для жены, так как он её *оскорбляет и *злоупотребляет/ты приехал ко мне в гости на 3 дня с АрБУЗом, а живешь уже месяц, ты *злоупотребляешь гостеприимством, ты ОБУЗа с АрБузом/ОБУЗой для друзей чтобы не стать, старайся никого не *оскорблять| abusive[эб'ьюсив][э'бью:сив]оскорбительный
accelerate[Эк'селэр,еит][эк'селэреит]|ускорять-ся|АКСЕЛЕРАТы *ускорено развиваются не по годам/~АКСЕЛЕРАТор|acceleration[Эк,селэр'еишэн][эк,селэ'реишэн]ускорение/-tion сущ
