g_fa=`
## 600 базовых английских слов по ассоциациям (мнемотехника)
#
# Xing*2025/ Это минимальный словарный запас. (уровень примерно A1) Слова отсюда britlex.ru и др + амер.тр + гугл перевод + лучшие ФА из всех источников и мои
# Сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# Есть словоформы: сущ.(-tion -sion -ty -nce -ment -ness-состояние -ship-корабль -ing-процесс-глагола -er(-or)-исполнитель, тот кто это делает)/ гл. (-fy -en)/ нареч. (-ly)/ прил. (-y -ous -full-полный-чего-то -able-способный -ed-уже-сделанный )/нет(im- in- ir- un- dis- -less-без-этого)
#
# 612 базовых английских слов которые можно запомнить по ассоциациям, они имеют родственные рус слова и произошли от английских или общих латинских, частично похожи по написанию или звучанию, обозначают другое, но на ту же тему и логически связаны! Если воображение плохое, то ищите или рисуйте картинки в Chat GPT. Авторских прав нет, если кто что возьмёт отсюда, то пишите ссылку на этот сайт. Иногда есть повторы. Учить лучше через АнкиДроид + гугл переводчик для озвучки, ФА в переводе на англ это как контекст. В карточках tem-mem старый формат, там ФА из общей кучи, а здесь и в 3700 новые получше. 
# Как учить: Включаем всё актёрское мастерство, представляем сцену где ты главный герой, ногами руками и всем чем можно изображаем это действие, издаём звуки ааа, брр, ох, ой итд, по возможности ярко представить цвета, запахи, тепло-холодно, кисло-сладко, мурашки по коже, смешно-грустно-страшно (Для убедительности можно побегать, попрыгать, полаять, съесть перчик, чеснок, обморозить/обжечь пальчик итд) Прочитать вслух звучание, написание, перевод и ассоциацию, на каждое слово надо примерно 20-60 сек. Сыграть сценку как в театре, чем реалистичней тем лучше запомнится. Если просто сидеть и читать, то ничего не запомнится! Надо всё время двигаться - час учить, 10 мин отдых и снова, и ещё по 20+ мин тренировать воображалку и 7 каналов памяти. Это очень важно для этого способа! 
# В интернете мало качественных ассоциаций. Создать смешную и запоминающуюся историю не так просто как кажется. Нужен талант писателя лингвиста юмориста! Обычная быстро забудется и смешается с остальными обычными. Все кто пишет что ассоциации не помогают, лишняя лабуда и вредно, это как раз про обычные типа *вершина ТОПоля, а необычные оставляют яркий след как анекдот, комедия, триллер или ужастик. После пары часов изучения этим методом, у вас должен быть усталый и счасливый вид, как будто вы провели весь день в парке развлечений и на всём с визгами покатались, потом пошли в зоопарк и всё везде посмотрели, удивились и ахнули, и наконец сами поучаствовали в кровавом боевике, падали в пропасть, переходили брод с крокодилами и за вами гнались зомби и чуть не съели! (и можно это потом рассказать другим, похвастаться и чтобы они тоже посмеялись)
# Также есть ~1000 похожих слов типа банк, музей, балкон, они по написанию копия, но звучат немного по другому, если по правилам, то учить проще, но если исключения то просто запомнить! Ещё ~2000 это словоформы образованные предлогами, суффиксами и окончаниями, они означают примерно тоже, но есть исключения - их учим отдельно, на них ФА к одному главному слову, к остальным необязательно, ещё ~1000 слов выучить через ФА сложно, но можно если потренироваться, ещё к ~1000 слов ФА есть, но запомнить такое нереально, там нескладно и звуки на много слов, ещё к ~1500 слов ФА придумать нельзя, нет похожих слов, их учите по карточкам как обычно или нужна мега ФА, ~800 слов известны со школы почти всем, ФА к ним есть, но лучше вспомнить(учить) через патерны и примеры. С картинками есть приложение для андроид (английский по ассоциациям) и две книги Матюгин и Гарибян, но ФА там похуже, часть ненужные редкие слова, устарело и 18+, есть ещё пара книг без картинок, но там ФА так себе, есть лучше и бесплатно. Если созвучных похожих рус.слов много, то можно придумать свою ФА быстро, а если мало, то надо вспоминать слова и перебирать и устанете! Если их нет, то желание учить вообще пропадёт! А здесь халява, готовые, прикольные и смешные попадаются, но помогает увы не всем, так что пробуйте разные способы и выбирайте какой вам лучше подходит! Жаль картинок пока мало, с ними намного лучше запоминается, их надо всем вместе рисовать и обмениваться, потом бесплатную книгу или учебник сделать. Слова в основном стырили из английского (латинского) по написанию, по звучанию реже, а в русском в основном как пишеца так и читаеца, а в английском наоборот! читается по отдельным правилам, редко есть исключения. И для слова balcony~бэлкэни не надо сочинять про бал и кони и так видно что это балкон, а для топ есть топ-менеджер, а не вершина тополя
#
# %-похоже, %%-немного-похоже ŋ=Н θ=С ð=З w=В æ=Э ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! Ещё см. 3700 слов.
#
# формат: word [звучание] | перевод | ФА1 / ФА2 | похожие чем-то // ещё похожие
a [э] | артикль =некий | без артикля это глагол наречие или прилагательное |
the [Зэ][Зи] | артикль =именно-этот, тот | (this-этот that-тот these-эти those-те) | there-там they-они their-их them-их
nature [неичэР] | природа | юные НАТУРАлисты берегут *природу, в НАТУРЕ|
flower [флауэР] | цветок | ФЛОРИда - *цветущий штат с *цветами / *цветы любит ФЛОРист (florist~флорист цветочник) / ~ФЛОРа и фауна |
water [ВотэР][Во:тэ] | вода | блюВОТА = синяя(blue~блю) + *вода, бее / ВАТЕРлиния корабля по уровню *воды / ВАТЕРпол = *вода + бассейн(pool~пул) / т=д ВОТЭ=*ВОДА % |
air [ер][еэ] | воздух | АЭРопланы летают в *воздухе, оттуда отличный *вид и *впечатление |
life [лаиф] | жизнь | гербаЛАЙФ - трава(herb~херб лечебные-растения) для *жизни / ЛАЙФхак = *жизнь + хак(hack~хЭк взломать рубить кромсать) = полезные советы как проще жить | alive~элаив живой // live~лив жить
death [деС] | смерть | ДЕСпота *казнили, собаке собачья *смерть |
land [лЭнд] | высаживаться-на-берег,земля | +в названиях иСЛАНдия финЛЯНДия гоЛАНДия / дисней ЛЭНД это *земля парка и *приземляться туда надо тихо | island~айлэнд остров // landlord~лэндлорд арендодатель домовладелец // landscape~лэндскеип ЛАНДшафт // lend~ленд давать-в-долг
star [стаР] | звезда | суперСТАР - крутая *звезда сцены / я стар, я очень стар, я суперстар |
grass [грЭс][грас] | трава | +РАСтёт КРАСная / ГеРАСим бегал по *траве за муму | grow~грэу расти
tree [три] | дерево | +поТРИ - будет огонь / ТРИ тополя на плющихе были говорящими *деревьями | three~Сфри три =3
gold [гоулд] | золото | +принес ГОЛ команДе / ГОЛДИ хоум - *золотко домашнее(home~хоум) снималась в кино (за бортом) / ГОЛД стар - *золотая звезда(star~стаР) теперь LG |
silver [силвэР] | серебро | пират СИЛЬВЕР из острова сокровищ сундук с *серебром спрятал, до сих пор ищут / алисия СИЛЬВЕР-стоун катит *серебряный камень(stone~стоун) / СИЛЬВЕстер сталоне с талоном *серебро покупал |
sound [саунд] | звук | САУНДтрек = *звук + дорожка(track~трЭк) / САУНа Делает тело *здоровым под *звуки му |
fire [фаиэР][фаир] | огонь | ФЕЙЕРверк = *огонь + работа(work~вэРк) / ФЕЙЕРверк *стреляет *огнём | bonfire~бонфаиэр костер
sky [скаи] | небо | СКАЙнет = *небо + сеть(net~нет) = интернет по *небу через спутники / отпуСКАЙ шарик в *небо / в СКАЙпе на входе заставка *небо и капча - докажи что ты не верблюд | ski~ски лыжи
ground [граунд] | земля | андеГРАУНД = под(under~андеР) + *землей / *ГРУНт это *земля *почва |
sun [сАн] | солнце | а=о, СОНце % / в САН франциско светит *солнце искренне(frank~фрэНк) / САНитары советовали психам лететь на *солнце ночью чтобы не сгореть | sunday~санди воскресенье // son~сан сын
rain [реин] | дождь | картина РЕпИНа приплыли (по лужам под *дождём) / когда *дождей нет, огород поливают из реки РЕЙН в европе / *дождь в РАЙоНе деревни гадюкино идёт круглый год / вРЕдИНа и кРЕтИН пошли под *дождем без зонтика по лужам на свидание, она(she~ши) ШИзанутая, он(he~хи) постоянно ХИхикал, два сапога пара! | reign~реин власть владычество
moon [мун] | луна | м=л, ЛУНа % / *спутник *лунный *бродит-как-во-сне *лунатик |
stone [стоун] | камень | СТОУНхедж из *камней + изгородь(hedge~хедж ограда) / в хьюСТОНЕ рубят(hew~хью) *камни для космодрома / о=е, СТЕНА из *камней |
wind [Ваинд][Винд] | ветер | ВИНДсерфер = *ветер + прибой(surf~сэрф) = ждет *ветер для катания / *ветер *вился *изгибался *извивался | window~Виндоу *окно от *ветра
smoke [смоук] | дым,курить | СМОГ - это *дым над городом от заводов / от *курения *дым так что можно вешать топор |
river [ривэР] | река | РЕВЕт *Река в горах, плыть опасно, камни, пороги, водопады.. |
sea [си:] | море | увидеть(see~си) СИнее *море / они видели(see~си) СИнее *море с русалками |
lake [леик] | озеро | ЛАКАл из *озера / ЛЕЙ воду из *озера | leak~лик течь утечка
ocean [оушэн] | океан | к=ш % / 12 друзей ОУШЕНа плавали тайно в двух *океанах |
beach [би:ч] | пляж | брайтон-БИЧ = яркий(bright~брайт) свет на *пляже и опять идут дожди / наркоманы БИЧ и сучка(bitch~бич) бомжевали на *пляже |
forest [форист] | лес | ФОРЕСТ гамп в *лесу хВОРОСТ собирал / for+rest = для отдыха *лес |
ice [аис] | лёд | АЙСберг это *лёд и ледяная-гора(berg~бэРг) / мороженое ice-cream это *лед + крем |
